Red,Green,Blue
240,128,128
255,127,80
255,99,71
255,94,77
255,0,0
255,9,33
254,27,0
247,35,12
233,56,63
237,0,0
222,41,22
219,23,2
205,92,92
174,74,52
220,20,60
207,10,29
191,48,48
184,32,16
187,11,11
198,8,0
188,32,1
173,57,14
178,34,34
165,42,42
150,0,24
139,0,0
133,6,6
128,0,0
110,11,20
