Red,Green,Blue
240,255,255
230,230,250
223,242,255
176,224,230
187,210,225
176,196,222
173,216,230
135,206,250
135,206,235
128,208,208
95,158,160
0,191,255
119,181,254
100,149,237
84,114,174
70,130,180
30,144,255
49,140,231
0,127,255
44,117,255
65,105,225
21,96,189
0,0,255
1,49,180
0,0,205
27,1,155
0,0,139
25,25,112
0,0,128
15,5,107
3,34,76
34,66,124
0,51,102
36,68,92
29,72,81
